year,city_hint,route,segment,station_id,aadt,weekday_passenger,weekday_bus,weekday_small_truck,weekday_medium_truck,weekday_large_truck
2023,고양시,,고 양 시 - 조 리 면,0141-001,27740.0,22589.0,643.0,5273.0,783.0,49.0
2023,양주시,6호선,6호선 남양주시 - 팔 당 댐,0605-000,50006.0,41697.0,595.0,7043.0,937.0,156.0
2023,김포시,,김 포 시 - 김포IC,4803-002,86211.0,69798.0,2432.0,14697.0,1407.0,93.0
2024,고양시,,고 양 시 - 조 리 면,0141-001,27782.0,22727.0,641.0,5148.0,773.0,51.0
2024,양주시,6호선,6호선 남양주시 - 팔 당 댐,0605-000,50311.0,41868.0,587.0,7213.0,912.0,149.0
2024,김포시,,김 포 시 - 김포IC,4803-002,89386.0,72564.0,2480.0,15000.0,1417.0,97.0
2025,고양시,,고 양 시 - 조 리 면,0141-001,28130.0,22966.0,648.0,5253.0,796.0,56.0
2025,양주시,6호선,6호선 남양주시 - 팔 당 댐,0605-000,50104.0,41785.0,584.0,7051.0,912.0,155.0
